date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:09	67904/67904	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons.woff?v=2.0.0	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons28b5.woff	(from http://www.ecocyclerieyonnaise.fr/vendors/css/ionicons.min.css)
12:15:11	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons.svg?v=2.0.0	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons28b5.svg	(from http://www.ecocyclerieyonnaise.fr/vendors/css/ionicons.min.css)
12:15:12	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:11%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/radio.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/radio.png	(from http://www.ecocyclerieyonnaise.fr/)
12:15:13	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons.eot?v=2.0.0	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons28b5.eot	(from http://www.ecocyclerieyonnaise.fr/vendors/css/ionicons.min.css)
12:15:19	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	/home/lr-14/websites/ecocyclerie/ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from http://www.ecocyclerieyonnaise.fr/)
12:15:24	78224/78224	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:18%20GMT	http://www.ecocyclerieyonnaise.fr/resources/css/img/header.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/css/img/header.jpg	(from http://www.ecocyclerieyonnaise.fr/resources/css/style.css)
12:15:24	188508/188508	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons.ttf?v=2.0.0	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/vendors/fonts/ionicons28b5.ttf	(from http://www.ecocyclerieyonnaise.fr/vendors/css/ionicons.min.css)
12:15:25	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:24%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/produits-vintage.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/produits-vintage.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:15:25	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:25%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/bricolage.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/bricolage.png	(from http://www.ecocyclerieyonnaise.fr/)
12:15:25	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:25%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/vetements.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/vetements.png	(from http://www.ecocyclerieyonnaise.fr/)
12:15:25	212/212	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Mar%202018%2010:15:25%20GMT	http://www.ecocyclerieyonnaise.fr/restserver.php	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/restserver.2b.delayed	(from http://connect.facebook.net/fr_FR/sdk.js)
12:15:26	262/262	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Mar%202018%2010:15:26%20GMT	http://www.ecocyclerieyonnaise.fr/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/fr_FR/sdk.js)
12:15:26	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:26%20GMT	http://www.ecocyclerieyonnaise.fr/resources/css/img/header.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/css/img/header.jpg	(from http://www.ecocyclerieyonnaise.fr/resources/css/style.css)
12:15:26	204/204	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Mar%202018%2010:15:26%20GMT	http://www.ecocyclerieyonnaise.fr/^([^:/?	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/^([^_/indexd41d.html	(from http://connect.facebook.net/fr_FR/sdk.js)
12:15:27	205/205	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Mar%202018%2010:15:27%20GMT	http://www.ecocyclerieyonnaise.fr/dialog/	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/dialog/index.html	(from http://connect.facebook.net/fr_FR/sdk.js)
12:15:34	148775/148775	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:18%20GMT	http://www.ecocyclerieyonnaise.fr/resources/css/img/atelier.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/css/img/atelier.jpg	(from http://www.ecocyclerieyonnaise.fr/resources/css/style.css)
12:15:35	240314/240314	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:18%20GMT	http://www.ecocyclerieyonnaise.fr/resources/css/img/slider.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/css/img/slider.jpg	(from http://www.ecocyclerieyonnaise.fr/resources/css/style.css)
